"combination","validation","FOD_0","log","dist_thr","n_initial","n_removed","percent_removed","n_remaining","mtry","nodesize","ntree","RMSE","RMSE_sd","R2","R2_sd","MAE","MAE_sd"
129,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,1,300,0.680373105354893,0.10736534535239,0.440981945677882,0.147515520065585,0.545674381259403,0.105250980588594
130,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,1,300,0.635654347982225,0.100237827070059,0.506325551551954,0.143632948833089,0.508067618482758,0.0947393676954765
131,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,3,300,0.688564353791113,0.104837485469026,0.427902726373315,0.145291724826044,0.556398366763579,0.102436211019404
132,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,3,300,0.643207025954472,0.100228766235216,0.497131651280087,0.14094462144576,0.516172842250706,0.0923437312379368
133,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,5,300,0.691113401840611,0.105816892820019,0.422788132643873,0.151409590836285,0.558496432309559,0.104333728050878
134,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,5,300,0.645603924017074,0.102081914578911,0.493423244295644,0.14131872880728,0.518929990933431,0.0928840059263891
135,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,10,300,0.702119874310319,0.109185580443099,0.406097233571952,0.152174191921076,0.568611606734647,0.106242896872018
136,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,10,300,0.656172233731704,0.108695659094984,0.475186949325091,0.156653993065389,0.529214541441624,0.100831779717798
137,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,1,500,0.678114086247794,0.106262168393496,0.445439429812279,0.144053641600621,0.544751243421436,0.103758594233774
138,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,1,500,0.639923960971468,0.0980534650299414,0.500489030784862,0.141163120360413,0.511882863929996,0.0919266832706891
139,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,3,500,0.685978970407533,0.102685628163363,0.432182950217723,0.142670359818019,0.5536333614088,0.10194386806703
140,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,3,500,0.641910654998353,0.0979919892587143,0.499286224419899,0.136799075560767,0.514807101157623,0.0910023166702897
141,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,5,500,0.684944219145422,0.107083854214571,0.433412757406864,0.150043463542748,0.553945681604339,0.104886828776135
142,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,5,500,0.647209710074312,0.101351027222145,0.489634509010743,0.145216864420815,0.520358951644956,0.093319576404004
143,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,10,500,0.698531187238231,0.11290216781542,0.411373326461251,0.157710932444452,0.566737249049712,0.108807598456937
144,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,10,500,0.655364556087843,0.107844785827013,0.47647320437389,0.155576228762405,0.528832885819946,0.0978741220835313
145,"LOYO",FALSE,FALSE,1,191,93,48.6910994764398,98,4,1,100,1.28147630955,0.753463189257974,-0.688047668246905,0.86824832466177,1.04555358938063,0.653272970875978
146,"LOYO",FALSE,FALSE,1,191,93,48.6910994764398,98,9,1,100,1.26837429453044,0.781310228242899,-0.625857270003485,0.878110958711874,1.01234067470634,0.709271734140706
147,"LOYO",FALSE,FALSE,1,191,93,48.6910994764398,98,4,3,100,1.27737535517655,0.769042671259093,-0.680105071660797,0.900144508598989,1.05758080589394,0.670782044842679
148,"LOYO",FALSE,FALSE,1,191,93,48.6910994764398,98,9,3,100,1.28567865456513,0.753988906035604,-0.663370092403997,0.813221771144728,1.02521358407243,0.683457331367596
149,"LOYO",FALSE,FALSE,1,191,93,48.6910994764398,98,4,5,100,1.31363196396552,0.727842029296816,-0.775702071873012,0.830748959998794,1.08412123721346,0.614600231616728
